Graph,Subgraph Count
0_barabasi_albert_graph_m_1,51246
4_barabasi_albert_graph_m_1,52793
4_ferdos_renyi_graph_m_2000,65030
1_ferdos_renyi_graph_m_2000,66159
3_ferdos_renyi_graph_m_2000,66249
0_ferdos_renyi_graph_m_2000,67098
2_ferdos_renyi_graph_m_2000,67692
2_barabasi_albert_graph_m_1,129384
0_scale_free_graph_a_65_b_1_g_25,131626
1_barabasi_albert_graph_m_1,133917
3_barabasi_albert_graph_m_1,174251
3_scale_free_graph_a_65_b_1_g_25,182253
1_scale_free_graph_a_65_b_1_g_25,191691
2_scale_free_graph_a_65_b_1_g_25,206647
4_scale_free_graph_a_65_b_1_g_25,315428
4_barabasi_albert_graph_m_2,320968
2_barabasi_albert_graph_m_2,366397
0_barabasi_albert_graph_m_2,380109
1_barabasi_albert_graph_m_2,413250
3_barabasi_albert_graph_m_2,417373
4_scale_free_graph_a_35_b_3_g_35,590285
0_scale_free_graph_a_35_b_3_g_35,606794
2_scale_free_graph_a_35_b_3_g_35,630653
4_barabasi_albert_graph_m_3,686268
3_scale_free_graph_a_35_b_3_g_35,691748
0_barabasi_albert_graph_m_3,790576
1_scale_free_graph_a_35_b_3_g_35,897032
1_barabasi_albert_graph_m_3,1020889
2_barabasi_albert_graph_m_3,1221209
3_barabasi_albert_graph_m_3,1449247
2_scale_free_graph_a_28_b_7_g_02,17899357
4_scale_free_graph_a_28_b_7_g_02,23014937
0_scale_free_graph_a_28_b_7_g_02,25258907
3_scale_free_graph_a_28_b_7_g_02,31112692
1_scale_free_graph_a_28_b_7_g_02,47954122
